〇	來開四青平
㐁	透開一覃去
㐁	透開四添去
㐆	影開三C微平
㐆	影開三C殷上
㐭	來開三侵上
㐱	章開三真上
㐲	定開一泰去
㐸	溪開三C嚴去
㑁	知合三真入
㑃	影開二肴去
㑉	心三東入
㑗	書開三真平
㑙	端開四添入
㑛	心一東入
㑛	書三鍾入
㑜	以開三祭去
㑜	徹開三祭去
㑞	以開三蒸去
㑟	幫二庚上
㑥	以開三支去
㑦	來開四齊去
㑮	匣合一魂平
㑮	疑合一魂平
㑰	以開三陽去
㑳	孃開二咸入
㑳	崇三尤去
㑳	莊合三虞平
㑵	從開三真入
㑻	明二山入
㑿	崇開二肴上
㒄	日開三仙上
㒄	書開三仙上
㒅	溪開四齊上
㒇	明三C虞上
㒈	曉開二銜去
㒊	生開三侵入
㒋	心開三支平
㒌	羣合三A清平
㒓	透開一寒入
㒔	定一東入
㒔	常三鍾入
㒚	影合一魂上
㒚	影開三C殷去
㒝	明三C元入
㒝	明四先入
㒟	泥開四蕭上
㒠	匣開二皆去
㒥	滂三C東平
㒨	心開三仙平
㒰	從合三仙平
㒳	來開三陽上
㒴	見合一魂入
㒸	邪合三脂去
㒹	端開四先平
㒼	明一寒平
㒽	溪合三B仙平
㒾	以開三支去
㒾	書開三支去
㓃	知開二麻去
㓃	端一模去
㓄	知開三侵去
㓊	定一東去
㓖	幫三A真入
㓘	心三東入
㓚	見一東平
㓝	匣開四青平
㓞	溪開二山入
㓠	端開四添上
㓢	來開一唐入
㓣	溪開二咸入
㓤	溪開二山入
㓱	定一侯平
㓳	端開四齊平
㓷	疑開三B祭去
㓹	清合三祭去
㓺	見開三C元平
㓻	見開一唐平
㓼	初開三臻入
㓽	崇三東去
㓽	崇三東平
㔂	來開三真去
㔄	心三鍾入
㔆	從開一覃上
㔊	章開三仙上
㔋	來開一談去
㔋	匣開二銜上
㔋	見開二銜去
㔌	從一侯去
㔌	從一侯平
㔍	初合三仙入
㔍	初合二刪入
㔎	心開三仙入
㔎	疑開三B真入
㔏	來開四青入
㔒	匣合四齊平
㔓	見開三C元上
㔗	並三C微去
㔙	幫二庚平
㔝	來開三陽上
㔞	溪合二皆平
㔠	曉開二刪入
㔡	幫四先入
㔢	精合三仙入
㔣	來合一灰去
㔣	來合一灰平
㔥	並二佳上
㔩	影開一覃入
㔪	來一模上
㔮	泥開一歌平
㔯	邪合三仙平
㔲	見合三B脂上
㔴	以開三蒸入
㔶	見一東去
㔶	見開一覃上
㔸	透開四齊平
㔹	來開一登入
㔻	滂三B脂平
㕆	匣一模上
㕆	端一模上
㕇	來開一覃入
㕈	影合一灰去
㕈	影開一咍上
㕊	滂三C虞平
㕋	羣開三B侵平
㕎	溪開一談入
㕒	疑合三B支平
㕗	以三尤上
㕙	清合三真平
㕙	精合三真去
㕚	莊開二肴上
㕛	云三C尤上
㕞	生合三仙入
㕟	溪合二皆去
㕡	曉開一唐入
㕢	匣開二夬去
㕢	見開一咍去
㕣	以合三仙上
㕦	匣合二麻去
㕧	曉開三B脂去
㕬	章三鍾平
㕭	影開二肴平
㕮	並三C虞上
㕮	幫三C虞上
㕯	孃合二山入
㕯	日合三仙入
㕯	泥合一魂入
㕰	曉二江入
㖃	匣一侯上
㖃	曉一侯上
㖃	曉一侯去
㖅	心合三真入
㖏	泥開四先入
㖑	曉開二皆去
㖒	定開四齊平
㖘	章開三真平
㖟	常三尤去
㖥	羣合三B真上
㖩	精合三虞平
㖪	曉合二耕入
㖷	常開三支平
㗁	疑開一唐入
㗉	來開三陽入
㗊	莊開三侵入
㗔	溪開三B仙平
㗕	見一侯平
㗗	幫三B支上
㗗	幫三B支平
㗘	幫一唐入
㗙	孃開二咸入
㗚	來開三真入
㗛	心開三宵去
㗢	匣一冬去
㗢	匣一冬平
㗢	定一東去
㗤	精三東入
㗦	來開一豪平
㗧	知開三真入
㗧	端開四先入
㗨	曉開二佳平
㗩	心開三侵入
㗫	清開四先入
㗬	徹開二麻平
㗱	精開三侵入
㗲	匣合二耕入
㗴	疑開二山平
㗵	曉合三C文入
㗻	匣合一歌平
㗻	見合一歌平
㗼	疑開三C嚴入
㗾	曉合三C歌平
㗿	曉開一歌上
㗿	曉開二麻上
㗿	曉開二麻去
㘀	精合一唐入
㘀	精開一唐入
㘁	以開三清入
㘆	透開一咍上
㘈	疑開三C之去
㘈	疑開三C蒸入
㘉	莊開三臻入
㘋	匣開四先上
㘋	匣開四先平
㘌	羣開三B庚入
㘍	精開三真入
㘓	來開一寒平
㘙	疑開三B庚入
㘝	孃開三侵入
㘝	孃開二咸入
㘠	幫三B蒸入
㘣	曉合四先平
㘣	邪合三仙平
㘥	以三尤平
㘨	泥開四添入
㘰	章開三侵平
㘱	透開一談平
㘲	見三C東入
㘻	影開三A真平
㙀	來三尤去
㙁	明三C東入
㙄	並四齊上
㙇	徹三鍾入
㙊	澄開三陽平
㙏	滂三C東入
㙙	來三鍾上
㙠	影開四齊去
㙠	影開四齊平
㙡	精三鍾平
㙤	曉開二麻去
㙨	羣開三C微平
㙩	來開三宵去
㙩	來開四蕭平
㙪	影開三B脂去
㙪	影開四齊去
㙱	匣開一豪去
㙲	影三C鍾去
㙴	昌開三鹽去
㙷	澄開三侵入
㙷	澄開三鹽入
㙻	澄開三仙平
㚀	曉開三B支平
㚁	溪開三B宵去
㚂	泥開一唐去
㚃	影合三C文平
㚅	來三東平
㚆	並三C東入
㚇	精一東去
㚇	精一東平
㚊	溪開一咍平
㚋	端開四蕭平
㚍	溪合一灰上
㚒	書開三清入
㚒	書開三鹽上
㚔	匣開二耕上
㚔	孃開三鹽入
㚖	昌開三清入
㚖	見開一豪上
㚗	從開三麻平
㚘	並一寒上
㚛	曉開四先入
㚛	曉開四齊去
㚜	云合三B蒸入
㚠	曉開四蕭平
㚠	溪開三A宵平
㚢	泥一模平
㚤	以開三蒸入
㚫	心開一覃入
㚲	昌開三鹽入
㚲	昌開三鹽平
㚷	孃開二佳上
㛁	滂二耕平
㛂	泥合一歌上
㛂	疑合一歌上
㛄	影開三C微平
㛅	日開三之去
㛆	端合一歌去
㛍	曉開三B鹽上
㛍	曉開四添入
㛍	溪開四添入
㛐	心開一豪上
㛑	清開一寒去
㛒	定一侯去
㛗	心合一歌平
㛗	清合一歌平
㛘	滂一魂入
㛥	透開一覃入
㛧	明一談上
㛪	影開三C嚴去
㛮	心開一豪上
㛱	影合一灰上
㛳	以開三祭去
㛴	泥開一豪上
㛶	透開一寒去
㛹	並三A仙平
㛼	初開二咸入
㜂	幫三C鍾平
㜅	曉三C東入
㜇	影合三A支去
㜊	知開三仙上
㜌	溪一侯去
