㐖毒	匣開四先入 定一冬入
一一	影開三A真入 影開三A真入
一下	影開三A真入 匣開二麻上
一並	影開三A真入 並四青上
一二	影開三A真入 日開三脂去
一些	影開三A真入 心開三麻平
一代	影開三A真入 定開一咍去
一來	影開三A真入 來開一咍平
一價	影開三A真入 見開二麻去
一元	影開三A真入 疑合三C元平
一共	影開三A真入 羣三C鍾去
一再	影開三A真入 精開一咍去
一准	影開三A真入 章合三真上
一則	影開三A真入 精開一登入
一匙	影開三A真入 常開三支平
一半	影開三A真入 幫一寒去
一口	影開三A真入 溪一侯上
一句	影開三A真入 見合三C虞去
一同	影開三A真入 定一東平
一向	影開三A真入 曉開三C陽去
一周	影開三A真入 章三尤平
一味	影開三A真入 明三C微去
一品	影開三A真入 滂三B侵上
一堆	影開三A真入 端合一灰平
一塊	影開三A真入 溪合一灰去
一壁	影開三A真入 幫四青入
一夕	影開三A真入 邪開三清入
一如	影開三A真入 日開三魚平
一字	影開三A真入 從開三之去
一定	影開三A真入 定開四青去
一家	影開三A真入 見開二麻平
一審	影開三A真入 書開三侵上
一對	影開三A真入 端合一灰去
一層	影開三A真入 從開一登平
一己	影開三A真入 見開三C之上
一帶	影開三A真入 端開一泰去
一度	影開三A真入 定一模去
一律	影開三A真入 來合三真入
一徑	影開三A真入 見開四青去
一心	影開三A真入 心開三侵平
一意	影開三A真入 影開三C之去
一手	影開三A真入 書三尤上
一排	影開三A真入 並二皆平
一斑	影開三A真入 幫二刪平
一方	影開三A真入 幫三C陽平
一旁	影開三A真入 並一唐平
一族	影開三A真入 從一東入
一旦	影開三A真入 端開一寒去
一早	影開三A真入 精開一豪上
一時	影開三A真入 常開三之平
一晃	影開三A真入 匣合一唐上
一會	影開三A真入 匣合一泰去
一月	影開三A真入 疑合三C元入
一次	影開三A真入 清開三脂去
一氣	影開三A真入 溪開三C微去
一流	影開三A真入 來三尤平
一生	影開三A真入 生開三庚平
一甲	影開三A真入 見開二銜入
一直	影開三A真入 澄開三蒸入
一眼	影開三A真入 疑開二山上
一睹	影開三A真入 端一模上
一瞬	影開三A真入 書合三真去
一種	影開三A真入 章三鍾上
一空	影開三A真入 溪一東平
一等	影開三A真入 端開一登上
一級	影開三A真入 見開三B侵入
一統	影開三A真入 透一冬去
一維	影開三A真入 以合三脂平
一線	影開三A真入 心開三仙去
一聲	影開三A真入 書開三清平
一腔	影開三A真入 溪二江平
一致	影開三A真入 知開三脂去
一舉	影開三A真入 見開三C魚上
一號	影開三A真入 匣開一豪去
一覽	影開三A真入 來開一談上
一言	影開三A真入 疑開三C元平
一說	影開三A真入 書合三仙入
一起	影開三A真入 溪開三C之上
一路	影開三A真入 來一模去
一身	影開三A真入 書開三真平
一輪	影開三A真入 來合三真平
一連	影開三A真入 來開三仙平
一遍	影開三A真入 幫四先去
一道	影開三A真入 定開一豪上
一邊	影開三A真入 幫四先平
一陣	影開三A真入 澄開三真去
一面	影開三A真入 明三A仙去
一頭	影開三A真入 定一侯平
一類	影開三A真入 來合三脂去
一體	影開三A真入 透開四齊上
一點	影開三A真入 端開四添上
一黨	影開三A真入 端開一唐上
一齊	影開三A真入 從開四齊平
丁卯	端開四青平 明二肴上
丁酉	端開四青平 以三尤上
丁香	端開四青平 曉開三C陽平
七十	清開三真入 常開三侵入
七喜	清開三真入 曉開三C之上
七堵	清開三真入 端一模上
七夕	清開三真入 邪開三清入
七孔	清開三真入 溪一東上
七彩	清開三真入 清開一咍上
七律	清開三真入 來合三真入
七情	清開三真入 從開三清平
七星	清開三真入 心開四青平
七曜	清開三真入 以開三宵去
七月	清開三真入 疑合三C元入
七竅	清開三真入 溪開四蕭去
七美	清開三真入 明三B脂上
七聲	清開三真入 書開三清平
七股	清開三真入 見一模上
七魄	清開三真入 滂二庚入
丈人	澄開三陽上 日開三真平
丈夫	澄開三陽上 幫三C虞平
丈母	澄開三陽上 明一侯上
三五	心開一談平 疑一模上
三代	心開一談平 定開一咍去
三光	心開一談平 見合一唐平
三兩	心開一談平 來開三陽上
三十	心開一談平 常開三侵入
三國	心開一談平 見合一登入
三峽	心開一談平 匣開二咸入
三弦	心開一談平 匣開四先平
三教	心開一談平 見開二肴去
三春	心開一談平 昌合三真平
三更	心開一談平 見開二庚平
三次	心開一談平 清開三脂去
三流	心開一談平 來三尤平
三級	心開一談平 見開三B侵入
三角	心開一談平 見二江入
三軍	心開一談平 見合三C文平
三鐵	心開一談平 透開四先入
三項	心開一談平 匣二江上
三鮮	心開一談平 心開三仙平
上代	常開三陽去 定開一咍去
上位	常開三陽上 云合三B脂去
上來	常開三陽上 來開一咍平
上個	常開三陽去 見開一歌去
上前	常開三陽上 從開四先平
上半	常開三陽去 幫一寒去
上去	常開三陽上 溪開三C魚去
上古	常開三陽去 見一模上
上司	常開三陽去 心開三之平
上周	常開三陽去 章三尤平
上回	常開三陽去 匣合一灰平
上坡	常開三陽上 滂一歌平
上場	常開三陽上 澄開三陽平
上墳	常開三陽上 並三C文平
上好	常開三陽去 曉開一豪上
上學	常開三陽上 匣二江入
上家	常開三陽去 見開二麻平
上將	常開三陽去 精開三陽去
上層	常開三陽去 從開一登平
上山	常開三陽上 生開二山平
上岸	常開三陽上 疑開一寒去
上市	常開三陽上 常開三之上
上年	常開三陽去 泥開四先平
