地位,小韻號,廣韻字頭及異體,需跟隨該小韻審音的廣韻外字
精合支平,133,㭰厜嫢惢纗觜,
精合支平,135,㭰㷷劑臇𤎱𦸺,
溪嚴入,209,抾,
溪嚴入,3864,㹤㾀呿怯抾胠魥𠩂𤴼,
溪嚴入,3872,姂猲,
來咍平,355,唻,
來咍平,389,㾢䅘䋱來崍庲徠斄棶淶犛猍萊逨郲騋鯠鶆麳𣀗𣮉𤦃𤲓𧳟𪎂𪑚,錸
並灰平,392,𤗏㯁,
並灰平,376,䣙培婄徘棓毰裴輫陪𤗏𨛬𩑢,賠錇
昌尤平,399,㹗,
昌尤平,997,犨犫,
滂灰平,400,𡜊,
滂灰平,378,㾦坏坯抔肧胚衃醅𤬃𩵣,
匣開先上,409,礥㘋,
匣開先上,1608,峴臔哯晛垷蜆俔顈䵤睍詪㦓嫢,鋧
來合支平,569,𡰠,
來合支平,97,羸𡰟𡰠,
羣合B仙平,570,𡰝,
羣合B仙平,638,䑏䟒䠰卷婘孉拳捲權犈狋蜷蠸觠踡顴鬈齤𢑆𤷄𥁠𥆗𪈻,
崇開山平,574,虥𡎻,
崇開山平,559,䡲僝孱潺𨬖,
清合一歌平,762,㛗脞,
清合一歌平,740,遳,
精之平,1040,稵,
精之平,206,仔兹嗞孖孜孳嵫滋稵茲鎡鰦鶿鷀鼒𪑿,
心覃平,1041,犙,
心覃平,1084,毿犙蔘,
見開山入,1420,㧳,
見開山入,1422,扮,
見開山入,3436,戛扴圿稭鴶楔秸骱鞂砎忦嘎𠜵𪃈袺㮖磍頡,恝釓
端灰上,1439,𩬳,
端灰上,1437,䇏謉頧𡑈𦞙,㨃
滂灰上,1452,啡,
滂灰上,1458,俖朏,
明灰上,1456,䆀𢮇,
明灰上,1433,䜸挴每浼潣燘,
以開廢上,1460,佁,
以開廢上,1464,䑂𦚪,
泥咍上,1462,疓,
泥咍上,1449,乃迺鼐,倷氖
並灰上,1465,倍菩蓓,碚
並灰上,1442,琲痱𢳁,
日合仙上,1487,蝡,
日合仙上,1647,㞋㮕㼱䓴䞂偄愞瑌碝緛耎腝蝡蠕軟輭𢘎𤲬,𠤦
清開一歌上,1763,硰,
清開一歌上,1732,䰈瑳硰,
溪B侵上,1979,坅,
溪B侵上,2000,顉𩖄,
溪嚴上,2089,㧄凵,
溪嚴上,2063,䇜欦𩒥,
徹魚平,2381,𥱻,
徹魚平,235,㯉摴攄筡,樗
初合夬去,2506,啐,
初合夬去,2497,䴝嘬𠽶𣤌,
明灰去,2530,䆀脄,
明灰去,2511,䆀䍙妹昧每瑁痗眛脢莓黴,
溪開A眞去,2560,臤菣𧼒,
溪開A眞去,2572,螼,
清開一歌去,2849,諎𢯽,
清開一歌去,2855,磋,
曉合A眞入,3336,㤜䎉䬄𥄵,
曉合A眞入,3322,獝,
匣開寒入,3406,䔾,
匣開寒入,3392,㮫䫘曷毼蝎褐鞨餲骱鶡𩩲,害
初合仙入,3535,㔍,
初合仙入,+,,醛
影合二庚入,3622,䪝㠛彠擭濩,
影合二庚入,3614,䪝,
匣合耕入,3645,㩇,
匣合耕入,3627,㗲劃咟嫿彠獲畫鱯,
曉合清入,3663,瞁𥆛,
曉合清入,3671,𥄎𢔠,
透開青入,3693,𣤩𥛚,
透開青入,3680,䚐䢰䯜倜剔悐惕摘硩籊蓨詆趯踢逖逷𠜓𢞒𤈥𥉈𥊕𩮜,
清覃入,3791,遪,
清覃入,3790,㜗䟃,
章鹽入,3808,譫,
章鹽入,3820,䜆䝕囁慴慹懾摺襵謺讋霅𣠞,
