㠁嵯	初侵平 初開支平
一些	影開A眞入 心開三麻平
一切	影開A眞入 清開齊去
一種	影開A眞入 章鍾上
一般	影開A眞入 幫刪平
一覺	影開A眞入 見肴去
丁丁	知開耕平 知開耕平
丁丁	端開青平 端開青平
万俟	明登入 羣之平
三台	心談平 透咍平
三觀	心談平 見合寒平
上朝	常開陽上 澄宵平
上校	常開陽上 匣肴去
上諭	常開陽去 以虞去
下海	匣開二麻去 曉咍上
下載	匣開二麻上 從咍去
不勝	幫文入 書開蒸平
不悖	幫文入 並魂入
不禁	幫文入 見B侵平
不要	幫文入 影A宵去
不錯	幫文入 清開唐入
丞相	常開蒸平 心開陽去
並行	並青上 匣開二庚平
中意	知三東去 影之去
中校	知三東平 匣肴去
中的	知三東去 端開青入
中肯	知三東去 溪開登上
中行	知三東平 匣開唐平
主要	章虞上 影A宵去
乾了	見開寒平 來蕭上
乾元	羣開B仙平 疑合元平
乾兒	見開寒平 日開支平
乾冰	見開寒平 幫蒸平
乾咳	見開寒平 溪開登入
乾唱	見開寒平 昌開陽去
乾嘔	見開寒平 影侯上
乾嚎	見開寒平 匣豪平
乾坤	羣開B仙平 溪魂平
乾妹	見開寒平 明灰去
乾媽	見開寒平 明二麻平
乾安	羣開B仙平 影開寒平
乾屍	見開寒平 書開脂平
乾旱	見開寒平 匣開寒上
乾杯	見開寒平 幫灰平
乾枯	見開寒平 溪模平
乾柴	見開寒平 崇開佳平
乾洗	見開寒平 心開齊上
乾涸	見開寒平 匣開唐入
乾淨	見開寒平 從開清上
乾渴	見開寒平 溪開寒入
乾溼	見開寒平 書侵入
乾澀	見開寒平 生侵入
乾燒	見開寒平 書宵平
乾燥	見開寒平 心豪上
乾爸	見開寒平 並一歌上
乾爹	見開寒平 知開三麻平
乾爽	見開寒平 生開陽上
乾癟	見開寒平 滂A仙入
乾白	見開寒平 並二庚入
乾硬	見開寒平 疑開耕去
乾等	見開寒平 端開登上
乾粉	見開寒平 幫文上
乾糧	見開寒平 來開陽平
乾紅	見開寒平 匣一東平
乾絲	見開寒平 心之平
乾縣	羣開B仙平 匣合先去
乾耗	見開寒平 曉豪去
乾肉	見開寒平 日三東入
乾脆	見開寒平 清合祭去
乾花	見開寒平 曉合二麻平
乾裂	見開寒平 來開仙入
乾貝	見開寒平 幫泰去
乾貨	見開寒平 曉合一歌去
乾透	見開寒平 透侯去
乾酪	見開寒平 來開唐入
