㠁嵯	初開三侵平 初開三支平
一些	影開三A真入 心開三麻平
一切	影開三A真入 清開四齊去
一種	影開三A真入 章三鍾上
一般	影開三A真入 幫二刪平
一覺	影開三A真入 見開二肴去
丁丁	知開二耕平 知開二耕平
丁丁	端開四青平 端開四青平
万俟	明一登入 羣開三C之平
三台	心開一談平 透開一咍平
三觀	心開一談平 見合一寒平
上朝	常開三陽上 澄開三宵平
上校	常開三陽上 匣開二肴去
上諭	常開三陽去 以合三虞去
下海	匣開二麻去 曉開一咍上
下載	匣開二麻上 從開一咍去
不勝	幫三C文入 書開三蒸平
不悖	幫三C文入 並一魂入
不禁	幫三C文入 見開三B侵平
不要	幫三C文入 影開三A宵去
不錯	幫三C文入 清開一唐入
丞相	常開三蒸平 心開三陽去
並行	並四青上 匣開二庚平
中意	知三東去 影開三C之去
中校	知三東平 匣開二肴去
中的	知三東去 端開四青入
中肯	知三東去 溪開一登上
中行	知三東平 匣開一唐平
主要	章合三虞上 影開三A宵去
乾了	見開一寒平 來開四蕭上
乾元	羣開三B仙平 疑合三C元平
乾兒	見開一寒平 日開三支平
乾冰	見開一寒平 幫三B蒸平
乾咳	見開一寒平 溪開一登入
乾唱	見開一寒平 昌開三陽去
乾嘔	見開一寒平 影一侯上
乾嚎	見開一寒平 匣開一豪平
乾坤	羣開三B仙平 溪合一魂平
乾妹	見開一寒平 明一灰去
乾媽	見開一寒平 明二麻平
乾安	羣開三B仙平 影開一寒平
乾屍	見開一寒平 書開三脂平
乾旱	見開一寒平 匣開一寒上
乾杯	見開一寒平 幫一灰平
乾枯	見開一寒平 溪一模平
乾柴	見開一寒平 崇開二佳平
乾洗	見開一寒平 心開四齊上
乾涸	見開一寒平 匣開一唐入
乾淨	見開一寒平 從開三清上
乾渴	見開一寒平 溪開一寒入
乾溼	見開一寒平 書開三侵入
乾澀	見開一寒平 生開三侵入
乾燒	見開一寒平 書開三宵平
乾燥	見開一寒平 心開一豪上
乾爸	見開一寒平 並一歌上
